"genes"	"modules"
"PTPRN2"	"M2"
"FAT1"	"M1"
"CA2"	"M5"
"GPR89A"	"M1"
"PLCL1"	"M1"
"MRAP"	"M1"
"NPM2"	"M1"
"SGPP2"	"M1"
"ALDH1A3"	"M1"
"EGR3"	"M4"
"FIGN"	"M1"
"CCNK"	"M1"
"CRHBP"	"M1"
"DFNA5"	"M1"
"SNAP25"	"M2"
"MEGF10"	"M1"
"GRIN2C"	"M1"
"GNAO1"	"M2"
"CYP26B1"	"M1"
"SEMA7A"	"M1"
"CRMP1"	"M2"
"SLC1A2"	"M4"
"DOC2B"	"M1"
"POSTN"	"M1"
"SLCO4A1"	"M5"
"ST6GALNAC5"	"M1"
"HIST1H2BK"	"M1"
"LRRN4CL"	"M1"
"ADAMTS12"	"M1"
"BASP1"	"M2"
"GSTM1"	"M1"
"GGH"	"M1"
"CNN1"	"M1"
"GDF15"	"M1"
"GAD1"	"M1"
"CLCN4"	"M1"
"CCL21"	"M1"
"ENPP5"	"M5"
"ZNF385B"	"M1"
"OGN"	"M1"
"CCNB1"	"M1"
"MSC"	"M3"
"KIF26A"	"M2"
"SCN4B"	"M1"
"TWIST1"	"M1"
"IL7R"	"M1"
"DPP4"	"M1"
"GET4"	"M1"
"GCKR"	"M1"
"KCNH3"	"M1"
"LMO3"	"M1"
"C17orf49"	"M1"
"UNC13A"	"M2"
"F10"	"M2"
"FAM89B"	"M1"
"ABCA6"	"M1"
"PTGER3"	"M1"
"ANK3"	"M2"
"CHDH"	"M1"
"TH"	"M2"
"KCNE4"	"M1"
"PAMR1"	"M2"
"AGRP"	"M1"
"REG3G"	"M1"
"TMEM200C"	"M1"
"RGS9"	"M1"
"PCP4"	"M3"
"CHAD"	"M1"
"RAET1G"	"M1"
"S100A8"	"M1"
"GBAP1"	"M1"
"SFRP4"	"M1"
"MIF"	"M1"
"SERPINA1"	"M3"
"NOMO3"	"M1"
"HSPA6"	"M4"
"FADS6"	"M1"
"CISH"	"M1"
"COL9A2"	"M1"
"PRC1"	"M1"
"EGFLAM"	"M1"
"GUCY1A2"	"M1"
"NRXN2"	"M2"
"ADAMTSL3"	"M1"
"DBH"	"M2"
"CD209"	"M3"
"PFKFB4"	"M1"
"DGCR6"	"M1"
"DLL4"	"M1"
"ALDH1A2"	"M1"
"COL7A1"	"M1"
"CPLX3"	"M1"
"LYZ"	"M3"
"MYBPC3"	"M1"
"PARD3B"	"M1"
"CES1"	"M1"
"ADCY5"	"M1"
"BEST1"	"M1"
"ZDHHC19"	"M5"
"MYT1"	"M1"
"CLSTN2"	"M2"
"DMKN"	"M1"
"PLIN5"	"M1"
"TRIM54"	"M1"
"DGKH"	"M1"
"C21orf33"	"M1"
"MKI67"	"M1"
"PAH"	"M1"
"RORB"	"M1"
"CABP7"	"M1"
"JAKMIP2"	"M1"
"RABGEF1"	"M1"
"TUBB2A"	"M1"
"CNTN6"	"M1"
"NKD1"	"M1"
"SYT12"	"M4"
"C12orf75"	"M1"
"POMC"	"M1"
"FST"	"M1"
"SLC17A9"	"M1"
"EPHB2"	"M1"
"FABP4"	"M1"
"MARCO"	"M1"
"MAMDC2"	"M1"
"HSD11B2"	"M1"
"PTGFR"	"M1"
"LIF"	"M4"
"FCGR2C"	"M1"
"SSTR2"	"M1"
"CDKL5"	"M1"
"APLP1"	"M2"
"SCUBE3"	"M1"
"ADAM33"	"M1"
"SEMA3C"	"M1"
"FAIM2"	"M2"
"ABCB6"	"M1"
"AFF3"	"M3"
"RGS4"	"M2"
"DPT"	"M1"
"STC1"	"M1"
"FMO3"	"M1"
"SKAP1"	"M1"
"MFAP5"	"M1"
"NPNT"	"M1"
"PYGO1"	"M1"
"CENPF"	"M1"
"CD84"	"M1"
"ERCC5"	"M1"
"RGS16"	"M4"
"LRRC39"	"M1"
"SMN2"	"M1"
"TOP2A"	"M1"
"PLCH2"	"M1"
"ZNF337"	"M1"
"CENPN"	"M1"
"SCN7A"	"M1"
"SIK1"	"M1"
"SV2B"	"M1"
"FAM110C"	"M1"
"SUSD4"	"M2"
"HOXA7"	"M1"
"CRABP2"	"M1"
"SCARA5"	"M1"
"TPX2"	"M1"
"SOX9"	"M3"
"EIF3CL"	"M1"
"PLIN4"	"M1"
"RHOF"	"M1"
"FBXL16"	"M2"
"PKHD1L1"	"M1"
"SLC2A5"	"M1"
"DUSP8"	"M2"
"FOSL1"	"M4"
"PNMA3"	"M1"
"RET"	"M2"
"P2RX6"	"M1"
"SAA1"	"M1"
"GABBR2"	"M1"
"ASPA"	"M1"
"CNTN1"	"M2"
"MUM1L1"	"M1"
"PCSK1N"	"M2"
"WASH7P"	"M1"
"EIF5AL1"	"M1"
"AHNAK2"	"M2"
"NKD2"	"M1"
"OGDHL"	"M2"
"FSTL4"	"M1"
"CD38"	"M1"
"CPXM1"	"M1"
"PAPPA"	"M1"
"PCDH15"	"M1"
"DYNC1I1"	"M2"
"AR"	"M1"
"FPR1"	"M1"
"EIF1AY"	"M1"
"SAMD11"	"M1"
"STC2"	"M1"
"PCSK6"	"M1"
"ZFP92"	"M1"
"ATP8A2"	"M1"
"CTH"	"M4"
"EFS"	"M2"
"CPA4"	"M1"
"KCNK1"	"M1"
"RTN1"	"M2"
"DAPL1"	"M1"
"ACTG2"	"M1"
"GPR173"	"M1"
"MASP1"	"M1"
"HHIP"	"M1"
"PSD"	"M2"
"UTY"	"M1"
"NRN1"	"M1"
"FLNC"	"M1"
"DHRS13"	"M1"
"RGS11"	"M1"
"CHST1"	"M2"
"PKNOX2"	"M1"
"CLDN11"	"M1"
"TMEM179"	"M1"
"BCAS4"	"M1"
"SMOC1"	"M2"
"FREM1"	"M1"
"SYNC"	"M1"
"CPN2"	"M1"
"EFNA3"	"M1"
"PTPRN"	"M2"
"PCDH10"	"M1"
"PTN"	"M1"
"TIMP4"	"M1"
"FAM169A"	"M1"
"MAPT"	"M2"
"ANK1"	"M1"
"ADRA2A"	"M1"
"FMO1"	"M1"
"L1CAM"	"M2"
"MT1L"	"M1"
"CDH12"	"M1"
"LRG1"	"M1"
"MRPL53"	"M1"
"ZNF805"	"M1"
"ARL2BP"	"M1"
"MACC1"	"M1"
"FEM1A"	"M1"
"PCDHB5"	"M1"
"C9orf84"	"M3"
"ADRA2C"	"M1"
"RAMP1"	"M2"
"ANXA2P2"	"M1"
"SYT7"	"M1"
"MMRN1"	"M1"
"FOXM1"	"M1"
"NTRK3"	"M1"
"RELN"	"M2"
"FABP6"	"M1"
"SFRP2"	"M1"
"DPYSL4"	"M1"
"DDTL"	"M1"
"KCNIP3"	"M1"
"MYH14"	"M1"
"RXFP1"	"M1"
"RBP4"	"M1"
"PTX3"	"M1"
"MIAT"	"M2"
"KIF1A"	"M2"
"CHL1"	"M1"
"BOLA2"	"M1"
"SDS"	"M4"
"PRAME"	"M1"
"GOLGA7B"	"M1"
"DSG2"	"M1"
"PPP2R2B"	"M1"
"H2AFY2"	"M1"
"PTGS2"	"M1"
"ATP1A3"	"M2"
"PNMT"	"M2"
"SYN1"	"M2"
"RANGRF"	"M1"
"PLD5"	"M3"
"PCOLCE2"	"M1"
"GATA5"	"M1"
"TYMS"	"M1"
"DUOX2"	"M1"
"PLXNA4"	"M2"
"LGR5"	"M3"
"DLGAP1"	"M1"
"NTRK2"	"M1"
"KIF11"	"M1"
"UBE2QL1"	"M1"
"STAC"	"M2"
"CPLX2"	"M2"
"TMEM59L"	"M2"
"GSTA2"	"M1"
"LGI4"	"M1"
"DIO2"	"M4"
"CXCL14"	"M1"
"ESM1"	"M1"
"SOCS1"	"M1"
"FIBIN"	"M1"
"SLC29A4"	"M2"
"RORC"	"M1"
"PON1"	"M1"
"RRM2"	"M1"
"MGAT2"	"M1"
"ANLN"	"M1"
"ZC3H11A"	"M1"
"NSUN5P2"	"M1"
"PDZK1IP1"	"M1"
"RAB3B"	"M2"
"CDK1"	"M1"
"FGF17"	"M1"
"CHRDL1"	"M1"
"TK1"	"M1"
"KIAA0408"	"M1"
"ATP1A2"	"M1"
"GPR1"	"M1"
"MMP24"	"M1"
"PLP1"	"M2"
"CEL"	"M1"
"MT1M"	"M1"
"TMEM130"	"M2"
"ASF1B"	"M1"
"SLC5A8"	"M1"
"DIRAS1"	"M1"
"GPR182"	"M1"
"VPREB3"	"M3"
"ATP2B2"	"M1"
"SCN3B"	"M2"
"ARG2"	"M1"
"RTN4R"	"M1"
"KCNK5"	"M4"
"SLC31A2"	"M1"
"CYP4F11"	"M1"
"CXCL2"	"M1"
"TPPP3"	"M1"
"PLA2G2A"	"M1"
"HAUS7"	"M1"
"CLCF1"	"M1"
"CYP4B1"	"M1"
"KCNH8"	"M1"
"RHCG"	"M1"
"PENK"	"M2"
"TIGD7"	"M1"
"SCG5"	"M2"
"SCO2"	"M1"
"CAMK2N2"	"M5"
"PLIN1"	"M1"
"COL11A1"	"M3"
"TSPAN8"	"M1"
"FAM156A"	"M1"
"TMEM26"	"M1"
"MT1A"	"M1"
"OMD"	"M1"
"TNFRSF11B"	"M1"
"PTTG1"	"M1"
"SLC6A17"	"M2"
"PLA2G1B"	"M1"
"CDT1"	"M1"
"AKR1B10"	"M1"
"PTPRD"	"M2"
"DUSP2"	"M1"
"LMAN1L"	"M1"
"GPD1"	"M1"
"PWP2"	"M1"
"CARTPT"	"M2"
"BEGAIN"	"M2"
"CLRN1"	"M1"
"KIAA1210"	"M1"
"CREB3L3"	"M1"
"ACSBG1"	"M1"
"ESPN"	"M1"
"SLPI"	"M1"
"RELL1"	"M1"
"ETV4"	"M3"
"CNTFR"	"M1"
"AHRR"	"M1"
"SLC30A3"	"M1"
"NMNAT2"	"M2"
"DEXI"	"M1"
"SNCA"	"M1"
"CEBPA"	"M1"
"DACT2"	"M1"
"C10orf82"	"M1"
"HDAC10"	"M1"
"PROK1"	"M1"
"RAB3C"	"M2"
"PITX1"	"M1"
"KLK1"	"M1"
"ACADL"	"M1"
"CDH4"	"M1"
"GNRHR2"	"M1"
"CDH19"	"M1"
"CDCA7L"	"M1"
"ALDOB"	"M1"
"JPH4"	"M2"
"PAK3"	"M1"
"PDXP"	"M1"
"GPRIN1"	"M1"
"SLC13A5"	"M1"
"KLK4"	"M1"
"AQP2"	"M5"
"CYP19A1"	"M5"
"CHRNA3"	"M2"
"CAMK2B"	"M2"
"ANGPT2"	"M1"
"MAG"	"M1"
"TROAP"	"M1"
"UBE2C"	"M1"
"CYP3A4"	"M5"
"U2AF1"	"M1"
"APOC1P1"	"M1"
"OPN3"	"M1"
"VGF"	"M1"
"HP"	"M1"
"KRT19"	"M2"
"RDH12"	"M1"
"PCDHB16"	"M1"
"KIT"	"M1"
"PI15"	"M1"
"ZFY"	"M1"
"PPP1R1B"	"M2"
"C2orf40"	"M1"
"LRRC37A"	"M1"
"GFRA2"	"M2"
"CLGN"	"M1"
"ZNF367"	"M1"
"KRT13"	"M1"
"BTBD11"	"M1"
"SLC30A2"	"M1"
"NTM"	"M1"
"KIF20A"	"M1"
"CA8"	"M3"
"TDGF1"	"M1"
"CDC20"	"M1"
"ISM1"	"M1"
"SULT1A3"	"M1"
"LYNX1"	"M1"
"PRIMA1"	"M2"
"ARC"	"M2"
"ACE2"	"M1"
"PKMYT1"	"M1"
"CYB5D1"	"M1"
"CDHR1"	"M2"
"CALB1"	"M1"
"WASH5P"	"M1"
"TCEAL2"	"M2"
"BIRC5"	"M1"
"PPP2R2C"	"M1"
"S100B"	"M2"
"DDIT4L"	"M1"
"HLA-DQA2"	"M3"
"OSBPL6"	"M1"
"HSD17B6"	"M1"
"SYT1"	"M2"
"ARHGAP36"	"M2"
"PCSK2"	"M2"
"SHCBP1"	"M1"
"RIMBP2"	"M2"
"SSTR5"	"M1"
"NCAPG"	"M1"
"GATA4"	"M1"
"BIRC7"	"M1"
"RBM34"	"M1"
"FOXO3B"	"M1"
"TMEM184A"	"M1"
"DHRS2"	"M1"
"INA"	"M2"
"HAND2"	"M2"
"SELE"	"M1"
"GNG4"	"M2"
"CCNB2"	"M1"
"CPA1"	"M1"
"PRSS1"	"M1"
"STRA6"	"M2"
"PCSK1"	"M2"
"NLGN4Y"	"M1"
"POLR2F"	"M1"
"SORCS1"	"M2"
"SLC44A5"	"M1"
"BUB1"	"M1"
"CLEC4M"	"M1"
"ASPM"	"M1"
"CEP55"	"M1"
"PRKY"	"M1"
"MAT1A"	"M1"
"HMP19"	"M2"
"NRXN3"	"M2"
"ABCC8"	"M2"
"SLC6A2"	"M2"
"GSTT2"	"M1"
"MYBL2"	"M1"
"BCAN"	"M2"
"GREM2"	"M3"
"C11orf86"	"M4"
"SRCIN1"	"M2"
"APC2"	"M2"
"CHD5"	"M2"
"UNC5A"	"M2"
"PRG4"	"M1"
"KRT4"	"M1"
"DDC"	"M2"
"CNNM1"	"M1"
"PNMA6A"	"M1"
"COL22A1"	"M2"
"ORM1"	"M1"
"SFRP5"	"M2"
"RAB17"	"M5"
"DDX47"	"M1"
"ADCYAP1R1"	"M2"
"SAA2"	"M1"
"ZG16B"	"M1"
"KIF5A"	"M2"
"PBK"	"M1"
"EGLN3"	"M1"
"TNNT2"	"M1"
"CTNNA2"	"M1"
"APOBEC3B"	"M1"
"MAP1LC3B2"	"M1"
"CELF4"	"M2"
"DTL"	"M1"
"EVX1"	"M4"
"ACAN"	"M1"
"TOP3B"	"M1"
"HBA1"	"M1"
"TNNI2"	"M1"
"LRRC4B"	"M2"
"HOXB9"	"M1"
"CADPS"	"M2"
"TTTY15"	"M1"
"MME"	"M1"
"DPP6"	"M2"
"CPNE4"	"M1"
"SEZ6L"	"M2"
"SYNGR3"	"M2"
"KCNQ2"	"M2"
"IGLON5"	"M1"
"CHI3L2"	"M3"
"IGSF1"	"M2"
"NELL2"	"M2"
"IL13RA2"	"M1"
"LCN2"	"M1"
"MYH7"	"M1"
"REN"	"M1"
"PGC"	"M1"
"SCG3"	"M2"
"SERF1A"	"M1"
"NTRK1"	"M2"
"STMN2"	"M2"
"SYT5"	"M2"
"POLR2J2"	"M1"
"RIMS4"	"M1"
"BMP7"	"M2"
"CACNA1B"	"M2"
"GRIK1"	"M2"
"CIDEC"	"M1"
"TNNI3"	"M1"
"KCND2"	"M1"
"PTENP1"	"M1"
"PNLIP"	"M1"
"JPH3"	"M1"
"NPY"	"M2"
"KCNK9"	"M2"
"SLC8A2"	"M2"
"GP2"	"M1"
"B3GAT1"	"M2"
"ICAM3"	"M1"
"CKMT1B"	"M1"
"H3F3C"	"M1"
"IL6"	"M4"
"JAKMIP1"	"M2"
"ADIPOQ"	"M1"
"RASGRF1"	"M1"
"CXCL1"	"M1"
"REG3A"	"M1"
"CHRNA4"	"M3"
"KCNT1"	"M1"
"MAGEL2"	"M1"
"CELF3"	"M2"
"GRIA2"	"M2"
"SNAP91"	"M2"
"TMEM132E"	"M1"
"HPCAL4"	"M2"
"NACAP1"	"M1"
"SLC30A10"	"M1"
"ATCAY"	"M2"
"FATE1"	"M1"
"TTTY14"	"M1"
"SLC18A1"	"M2"
"IDO1"	"M1"
"PMAIP1"	"M1"
"PRL"	"M1"
"PCDHA10"	"M1"
"CST2"	"M1"
"APOA1"	"M1"
"TSIX"	"M1"
"TRIM50"	"M1"
"CA9"	"M1"
"SLC7A14"	"M2"
"HIST2H2AA3"	"M1"
"SYT4"	"M2"
"SULT4A1"	"M2"
"KCNG1"	"M1"
"CDH22"	"M2"
"CDK5R2"	"M2"
"RGPD6"	"M1"
"ZFR2"	"M2"
"SPOCK3"	"M2"
"C2orf66"	"M4"
"TAGLN3"	"M2"
"CALY"	"M2"
"DRD2"	"M2"
"WIF1"	"M1"
"HIST2H4A"	"M1"
"MFRP"	"M1"
"C4BPA"	"M1"
"RPL23P8"	"M1"
"ZNF593"	"M1"
"NTS"	"M1"
"PHOX2A"	"M2"
"TPSB2"	"M1"
"SLC24A2"	"M2"
"ST8SIA3"	"M2"
"FGA"	"M1"
"DLX5"	"M1"
"GH1"	"M1"
"FAM163A"	"M2"
"SNCB"	"M1"
"RPH3A"	"M2"
"SST"	"M2"
"TBC1D3B"	"M1"
"CHRFAM7A"	"M1"
"ELAVL4"	"M2"
"SYT13"	"M2"
"CSF3"	"M4"
"GNRHR"	"M1"
"SPRR1A"	"M1"
"VSTM2A"	"M2"
"CST5"	"M1"
